audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
6.1,Comedy,40,101,38.35,Ã‰volution,107485,2001
6.3,Comedy,52,111,108.25,Princesse malgrÃ© elle,105238,2001
7.4,Comedy,88,111,6.22,Ghost World,102391,2001
7.7,Adventure,88,106,13.62,Et... ta mÃ¨re aussi!,98603,2001
6.4,Adventure,52,112,56.62,Rat Race,98286,2001
6.1,Horror,49,90,37.9,Jeepers creepers - Le chant du diable,96577,2001
6.9,Comedy,52,90,50.29,Un amour Ã  New York,92798,2001
6.1,Adventure,43,123,66.81,Le Mexicain,92533,2001
5.4,Action,71,88,112.72,Spy Kids,91961,2001
7.6,Crime,73,116,7.49,The barber: l'homme qui n'Ã©tait pas lÃ ,91514,2001
6.4,Action,49,106,59.07,En territoire ennemi,91311,2001
5.7,Comedy,32,89,38.25,Sex Academy,85733,2001
6.8,Biography,65,157,58.2,Ali,83914,2001
8.2,Adventure,84,224,0.07,Lagaan,83790,2001
7.8,Drama,60,120,0.14,L'expÃ©rience,83554,2001
"6.8,Animation,52,95,84.05,""Atlantide, l'empire perdu"",82381,2001"
5.9,Action,25,87,43.91,The One,82245,2001
7.1,Comedy,48,100,18.49,Super Troopers,81620,2001
6.4,Animation,49,106,32.13,Final Fantasy: Les crÃ©atures de l'esprit,75815,2001
6.7,Drama,27,119,25.29,Sweet November,75586,2001
7.1,Drama,69,111,31.25,Ã€ l'ombre de la haine,75223,2001
5.6,Horror,30,91,41.87,13 fantÃ´mes,69863,2001
6.4,Comedy,44,118,47.12,Kate et LÃ©opold,69735,2001
7.3,Comedy,90,131,41.31,Gosford Park,69231,2001
5.2,Comedy,33,103,60.4,Un mariage trop parfait,66526,2001
7.3,Crime,64,100,13.1,Emprise,66391,2001
6.3,Drama,42,104,74.08,Le masque de l'araignÃ©e,63508,2001
7.3,Action,68,113,0.49,Shaolin Soccer,62883,2001
6.9,Action,43,131,18.21,Le dernier chÃ¢teau,60807,2001
6.5,Comedy,60,123,41.58,Bandits,59854,2001
6.6,Mystery,75,97,21.97,Une virÃ©e en enfer,56964,2001
6.6,Action,58,98,36.85,Le baiser mortel du dragon,55818,2001
7.1,Action,57,142,11.26,Le pacte des loups,55532,2001
7.8,Animation,82,99,2.89,Waking Life,53658,2001
7.5,Drama,78,106,0.75,L'Ã©chine du diable,52504,2001
6.2,Drama,53,112,91.06,Save the Last Dance,51162,2001
4.8,Comedy,43,84,57.74,Animal! L'animal...,50613,2001
5.7,Comedy,44,102,93.61,Couple de stars,49943,2001
5.1,Action,47,87,93.39,Comme chiens et chats,49466,2001
6.0,Drama,33,116,16.25,PÃ©chÃ© originel,47839,2001
6.9,Drama,27,152,27.81,The Majestic,47501,2001
6.5,Horror,58,100,0.38,Session 9,47156,2001
6.2,Comedy,47,123,40.33,BeautÃ©s empoisonnÃ©es!,46605,2001
6.3,Comedy,29,93,31.16,How High,46285,2001
6.8,Crime,71,124,19.72,The Pledge,46056,2001
6.7,Comedy,42,97,0.29,Wet Hot American Summer,46006,2001
4.9,Action,35,98,8.43,Ghosts of Mars,45645,2001
7.1,Action,55,129,0.0,Ichi the Killer,45575,2001
6.1,Action,34,120,24.4,15 minutes,44667,2001
5.9,Adventure,20,91,27.09,Joe La Crasse,44625,2001
6.3,Action,23,93,5.2,Le 51e Ã©tat,44513,2001
7.5,Drama,79,131,1.9,La Pianiste,44278,2001
6.3,Drama,38,113,55.0,Pas un mot...,43006,2001
4.4,Action,25,91,13.12,Jason X,42742,2001
4.5,Comedy,13,87,14.25,Va te faire foutre Freddy!,41488,2001
7.5,Drama,45,125,15.65,La maison sur l'ocÃ©an,40534,2001
8.0,Drama,84,98,1.06,No Man's Land,39975,2001
5.9,Action,21,125,15.74,Destination: Graceland,39658,2001
6.2,Drama,54,105,17.01,Rock Star,36634,2001
4.7,Comedy,49,87,112.95,Dr. Dolittle 2,36587,2001
4.5,Action,29,116,32.62,Driven,36001,2001
"7.9,Animation,61,115,1.0,""Cowboy Bebop, le film"",35572,2001"
5.9,Action,22,90,19.35,Diablesse,34945,2001
6.8,Comedy,52,103,7.5,Le sortilÃ¨ge du scorpion de Jade,34177,2001
7.5,Crime,86,130,35.93,In the Bedroom,33939,2001
4.8,Adventure,32,95,33.42,Le chevalier black,33179,2001
7.2,Drama,75,98,0.41,Danny Balint,32778,2001
6.9,Drama,55,101,24.19,Coeurs perdus en Atlantide,32425,2001
6.7,Action,53,94,0.08,Wasabi,31986,2001
6.5,Comedy,45,99,0.09,Carton rouge,31507,2001
7.2,Drama,65,128,1.49,Lucia et le sexe,31396,2001
7.0,Biography,45,108,1.54,Bully,30998,2001
6.8,Drama,47,111,11.43,Terre-Neuve,29945,2001
5.9,Drama,36,131,25.54,Capitaine Corelli,29690,2001
6.5,Action,66,109,0.05,Braquages,29412,2001
5.5,Action,39,101,51.76,Hors limites,28952,2001
7.8,Comedy,85,95,3.03,Hedwig and the Angry Inch,27956,2001
6.3,Animation,57,95,13.6,Osmosis Jones,27547,2001
5.8,Crime,34,106,18.0,La prison de verre,27345,2001
5.6,Adventure,41,84,5.0,Bubble Boy,27206,2001
6.1,Comedy,46,93,6.29,Divine mais dangereuse,26638,2001
6.1,Action,31,105,10.97,AntiTrust,26518,2001
6.0,Animation,65,82,80.94,Jimmy Neutron: Un garÃ§on gÃ©nial,26190,2001
6.1,Comedy,66,109,13.73,The Tailor of Panama,25185,2001
6.4,Drama,48,106,40.22,Hardball,24114,2001
6.5,Biography,43,132,30.17,Ã‰carts de conduite,24085,2001
6.1,Comedy,51,93,4.92,Nadia,22494,2001
5.5,Crime,29,89,45.21,L'intrus,22345,2001
6.5,Drama,61,99,16.93,Sexy/Crazy,22339,2001
4.7,Horror,18,96,20.38,Mortelle Saint Valentin,21687,2001
6.9,Comedy,56,98,0.35,Buffalo Soldiers,21487,2001
6.1,Comedy,32,97,27.34,Attraction animale,21232,2001
7.4,Comedy,77,114,13.88,Le mariage des moussons,21028,2001
4.8,Adventure,37,92,25.64,Crocodile Dundee III,21006,2001
6.2,Drama,33,95,6.11,Impostor,20900,2001
6.1,Crime,30,92,11.63,Les hommes de main,20626,2001
5.6,Drama,39,102,24.04,Angel Eyes,20395,2001
2.2,Drama,14,104,4.27,Glitter,20110,2001
5.4,Comedy,32,87,64.19,Les pieds sur terre,19857,2001
5.3,Comedy,47,98,14.25,Josie et les Pussycats,19744,2001
6.4,Drama,64,119,4.3,Enigma,18521,2001
7.0,Drama,53,103,0.3,Lost and Delirious,18070,2001
7.3,Animation,75,108,0.64,Metropolis,18061,2001
6.2,Drama,53,95,16.02,Othello 2003,17883,2001
7.9,Animation,70,87,0.04,Sennen joyÃ»,17269,2001
7.3,Drama,84,121,4.46,Lantana,17201,2001
7.3,Drama,71,86,0.49,Tape,16813,2001
5.8,Comedy,52,87,11.56,Allison Forever,16329,2001
5.8,Comedy,38,88,4.78,Les visiteurs en AmÃ©rique,16265,2001
6.4,Comedy,56,96,0.7,Human Nature,16169,2001
5.3,Comedy,15,95,13.56,Tomcats,16004,2001
6.9,Comedy,50,87,0.91,Storytelling,15918,2001
7.4,Drama,73,99,1.01,La chambre du fils,15729,2001
6.4,Comedy,62,95,5.31,Made,15676,2001
7.1,Biography,76,91,1.29,Iris,15554,2001
"6.3,Comedy,22,89,13.9,""Snow, Sex and Sun"",15228,2001"
4.7,Animation,40,93,5.41,Monkeybone,15143,2001
7.1,Comedy,72,84,6.67,Le placard,14915,2001
6.6,Comedy,72,97,7.02,La tentation de Jessica,14682,2001
5.0,Comedy,21,108,19.69,Hot Summer,13712,2001
5.5,Comedy,37,94,32.1,Escrocs,13376,2001
4.7,Action,27,104,27.05,D'Artagnan,13252,2001
